Time,avg(displacement (0)),avg(displacement (1))
0.001998,-8.60388e-15,2.615e-13
0.001996,-2.00061e-14,2.63847e-13
0.001994,-3.29597e-14,2.62788e-13
0.001992,-4.71775e-14,2.57986e-13
0.00199,-6.23091e-14,2.49189e-13
0.001988,-7.79488e-14,2.36254e-13
0.001986,-9.36466e-14,2.19158e-13
0.001984,-1.08921e-13,1.98013e-13
0.001982,-1.23275e-13,1.73068e-13
0.00198,-1.3621e-13,1.44712e-13
0.001978,-1.47244e-13,1.13463e-13
0.001976,-1.55926e-13,7.99514e-14
0.001974,-1.61854e-13,4.49052e-14
0.001972,-1.64687e-13,9.11913e-15
0.00197,-1.64159e-13,-2.65722e-14
0.001968,-1.60083e-13,-6.13257e-14
0.001966,-1.52365e-13,-9.43224e-14
0.001964,-1.41001e-13,-1.24798e-13
0.001962,-1.26081e-13,-1.52072e-13
0.00196,-1.07788e-13,-1.75571e-13
0.001958,-8.63869e-14,-1.94847e-13
0.001956,-6.22264e-14,-2.09592e-13
0.001954,-3.57235e-14,-2.19645e-13
0.001952,-7.35618e-15,-2.24989e-13
0.00195,2.23481e-14,-2.25747e-13
0.001948,5.28247e-14,-2.22173e-13
0.001946,8.34837e-14,-2.14629e-13
0.001944,1.13722e-13,-2.03569e-13
0.001942,1.42935e-13,-1.89518e-13
0.00194,1.70532e-13,-1.73045e-13
0.001938,1.95943e-13,-1.54744e-13
0.001936,2.18636e-13,-1.35209e-13
0.001934,2.38126e-13,-1.15015e-13
0.001932,2.53987e-13,-9.47034e-14
0.00193,2.65864e-13,-7.47667e-14
0.001928,2.73483e-13,-5.56408e-14
0.001926,2.76663e-13,-3.7699e-14
0.001924,2.75321e-13,-2.12503e-14
0.001922,2.69481e-13,-6.54024e-15
0.00192,2.59279e-13,6.2456e-15
0.001918,2.44963e-13,1.69759e-14
0.001916,2.26894e-13,2.55666e-14
0.001914,2.05535e-13,3.19736e-14
0.001912,1.81451e-13,3.61851e-14
